chembl_id;organism;canonical_smiles;AUC /ng.hr.mL-1
CHEMBL4246740;Mus musculus;CC[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)CC(C)C)[C@]2(C)[C@H](C)CC[C@]3(CC[C@@H](O)[C@H]32)[C@@H](C)[C@@H]1O;2891.0
CHEMBL4246667;Rattus norvegicus;COc1c(N2C[C@@H]3CCOC[C@@]3(N)C2)c(F)cc2c(=O)c(C(=O)O)cn([C@@H]3C[C@@H]3F)c12;3140.0
CHEMBL4246612;Mus musculus;CC[C@H](C)[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC1=O;6293.0
CHEMBL424582;Rattus norvegicus;COc1ccc(S(=O)(=O)Oc2cc(OC)c(OC)c(OC)c2)cc1NC(=O)CCN;800.0
CHEMBL4245692;Rattus norvegicus;COc1ccccc1-n1ccnc1/C=C/C(=O)/C=C/c1nccn1-c1ccccc1OC;1748.44
CHEMBL4245221;Rattus norvegicus;Cc1cccc(C)c1-n1c(Cn2nc(-c3ccc4[nH]ccc4c3)c3c(N)ncnc32)nc2cccc(F)c2c1=O;473.0
CHEMBL4244935;Rattus norvegicus;Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1cccs1;1108.0
CHEMBL4243915;Rattus norvegicus;Cc1nc(-c2ccc(C(C)(C)C)cc2)sc1-c1ccnc(NCCN)n1;3980.0
CHEMBL4243419;Rattus norvegicus;Cc1cc(SC(Cc2ccccc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)ccc1OCC(=O)O;12483.9
CHEMBL4242999;Rattus norvegicus;Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2;574.52
CHEMBL4242349;Mus musculus;CC[C@H](C)[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CCCN)NC(=O)[C@H](CC(N)=O)NC1=O;4785.0
CHEMBL4242114;Rattus norvegicus;Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCCCC1)c1cccs1;5114.9
CHEMBL42420;Rattus norvegicus;CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O;1385000.0
CHEMBL4240867;Mus musculus;CC(C)Cc1ccc2nn(C)cc2c1NS(=O)(=O)c1ccc(CCCCC2CCN(C)CC2)cc1;48333.33
CHEMBL4238599;Rattus norvegicus;NC(=O)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)nc(-c3ccco3)c2)cc1;1450.0
CHEMBL423809;Rattus norvegicus;COc1ccccc1N1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C)c3c2C(F)(F)F)CC1;15490.0
CHEMBL4238063;Rattus norvegicus;Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCCC1)c1cccs1;2504.6
CHEMBL4237925;Mus musculus;O=C(Nc1ccccc1)N1CCN(c2cccc3[nH]ccc23)CC1;11734.0
CHEMBL423458;Rattus norvegicus;O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCN(c4ncccn4)CC3)c(F)cc2c1=O;29560.0
CHEMBL42314;Mus musculus;C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F;3800.0
CHEMBL4229260;Rattus norvegicus;O=C(NOCCO)c1cc2ccoc2c(F)c1Nc1ccc(I)cc1F;8373.0
CHEMBL4229151;Rattus norvegicus;COc1ccc(-n2cc(Cn3ccc4nc(-c5ccccc5F)nc-4c3)nn2)cc1;72498.13
CHEMBL4229061;Rattus norvegicus;CC1(C)Cc2c(c(C(=O)Nc3ccc(C(F)(F)F)cn3)cc3nc(Nc4c(Cl)cccc4Cl)[nH]c23)O1;4025.0
CHEMBL4229060;Mus musculus;CN(Cc1nnc(-c2ccco2)o1)Cc1c(F)cccc1Cl;48.0
CHEMBL4228999;Rattus norvegicus;O=C(NOC(CO)CO)c1cc2ccoc2c(F)c1Nc1ccc(I)cc1F;43318.0
CHEMBL4228985;Rattus norvegicus;Cc1noc(C)c1-c1cc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)ccc1Cl;142020.0
CHEMBL4228973;Mus musculus;CCS(=O)(=O)c1cccc(-c2cn(C)c(=O)c3ccc(-c4cnn(C)c4)cc23)c1;5060.0
CHEMBL422896;Rattus norvegicus;Cc1c(C(=O)c2nc3ccccc3n2C(C)C)oc2cccc(OCCCNCc3cccnc3)c12;810.0
CHEMBL4228946;Mus musculus;COc1ncc(-c2cc3c(C)nc(NC(C)=O)nc3s2)cc1NS(=O)(=O)c1ccc(F)cc1F;1544.0
CHEMBL4228912;Mus musculus;Cc1nn(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c(CO)c1C(=O)NCCO;405.5
CHEMBL4228907;Rattus norvegicus;CC(CC(=O)Nc1ccc(C#N)c(Cl)c1)CC(=O)Nc1ccc2c(c1)c(=O)n(CC1CC1)c(=O)n2CC1CC1;106.2
CHEMBL4228899;Mus musculus;COc1ncc(-c2cc(O[C@@H]3CCN(C(=O)C4CCOCC4)C3)c3cnn(C)c3n2)cc1NS(C)(=O)=O;1640.0
CHEMBL4228712;Mus musculus;Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2ccc(F)cc2c1C(=O)O;35896.0
CHEMBL4228659;Rattus norvegicus;Cc1cc(O)c([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc2c(c1)CC2;1790.0
CHEMBL4228472;Mus musculus;Cn1nc(C(F)(F)F)cc1C(=O)N[C@@H]1CCN(C(=O)c2cc(Cl)c3nccnc3c2)C[C@@H]1c1ccccc1;1113.0
CHEMBL4228425;Rattus norvegicus;O=C(NOC[C@H](O)CO)c1cc2ccoc2c(F)c1Nc1ccc(I)cc1F;2863.0
