chembl_id;organism;canonical_smiles;PPB /%
CHEMBL404316;Rattus norvegicus;CN1CC(c2ccccc2)n2nc(C(=O)NCc3ccc(F)cc3)c(O)c2C1=O;1.1
CHEMBL404028;Rattus norvegicus;CC(=O)N1C2C=C(CN3CCC(Nc4ccc5cc(OC(F)(F)F)ccc5n4)CC3)CC1CCC2;95.5
CHEMBL404025;Rattus norvegicus;N#Cc1ccc(NCC(F)(F)c2ccccc2)c(F)c1CC(=O)NCCONC(=N)N;93.7
CHEMBL403813;Mus musculus;N#Cc1cc(CN2CCC2)cnc1-c1ccc(C(=O)Nc2ccccc2N)cc1;54.0
CHEMBL403454;Rattus norvegicus;COc1c(NC(=O)c2ccc(C)c(N3C=C(C(=O)NCC(C)(C)O)NN3)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O;66.0
CHEMBL403359;Rattus norvegicus;N#Cc1ccc(NCC(F)(F)c2cccc(Cl)c2)c(F)c1CC(=O)NCCONC(=N)N;95.2
CHEMBL403313;Rattus norvegicus;CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12;99.0
CHEMBL403310;Rattus norvegicus;N#Cc1ccc(NCC(F)(F)c2ccc(F)c(F)c2)c(F)c1CC(=O)NCCONC(=N)N;99.0
CHEMBL403195;Rattus norvegicus;COC[C@H]1CCCN1C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)CN2)c1;96.0
CHEMBL402514;Rattus norvegicus;CC(=O)N1C2C=C(CN3CCC(Nc4ccc5c(C(F)(F)F)cc(C(F)(F)F)nc5n4)CC3)CC1CCC2;95.5
CHEMBL402018;Rattus norvegicus;CNC(=O)c1cc(F)ccc1CNC(=O)c1nn2c(c1O)C(=O)N(C)C[C@H]2c1ccccc1;12.0
CHEMBL402011;Mus musculus;C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C;8.6
CHEMBL401930;Rattus norvegicus;Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12;94.1
CHEMBL401796;Rattus norvegicus;COc1cc2nc(N3CCc4c(cccc4NS(C)(=O)=O)C3)nc(N)c2c(-c2ccccn2)c1OC;93.0
CHEMBL401766;Rattus norvegicus;Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(Cl)cn4)cc[nH]c3=O)nc12;99.6
CHEMBL401258;Rattus norvegicus;Cc1cccc(NC(=O)c2ccc(-c3ccc(C#N)cc3)o2)c1;98.3
CHEMBL401065;Rattus norvegicus;CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(-c3noc(=O)[nH]3)cc21;0.1
CHEMBL400884;Rattus norvegicus;CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)N(C)S(=O)(=O)Cc3ccccc3)cc21;0.1
CHEMBL399364;Rattus norvegicus;CN(C)C(=O)Cn1c(-c2ccoc2)c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21;1.1
CHEMBL398161;Rattus norvegicus;C[C@@H](O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1;76.0
CHEMBL398159;Rattus norvegicus;CCC(O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21;0.11
CHEMBL398126;Rattus norvegicus;O=C(O)COc1ccc(Cl)cc1C1CCCCCC1;99.4
CHEMBL398110;Rattus norvegicus;CCCn1cnc(C[C@H](CCCN)C(=O)O)c1;0.0
