chembl_id;organism;canonical_smiles;T1/2 /hr
CHEMBL2418831;Rattus norvegicus;NC(CCCCB(O)O)(C(=O)O)C1CC2CCC(C1)N2Cc1ccc(Cl)c(Cl)c1;3.12
CHEMBL2418326;Rattus norvegicus;CCC[C@H](C(N)=O)[C@H](C)CC;0.95
CHEMBL2418325;Rattus norvegicus;CCC[C@@H](C(N)=O)[C@H](C)CC;1.1
CHEMBL2418324;Rattus norvegicus;CCC[C@@H](C(N)=O)[C@@H](C)CC;1.3
CHEMBL2418323;Rattus norvegicus;CCC[C@H](C(N)=O)[C@@H](C)CC;1.5
CHEMBL241759;Rattus norvegicus;CCn1c(=O)n(Cc2ccc(C(=O)Nc3ccccc3N)cc2)c(=O)c2sccc21;1.2
CHEMBL241757;Rattus norvegicus;Nc1ccccc1NC(=O)c1ccc(Cn2cnc3ccsc3c2=O)cc1;1.4
CHEMBL2417553;Rattus norvegicus;Cc1cncc(Cc2ccc(-c3ccccc3)nc2)c1;0.2667
CHEMBL241707;Mus musculus;CC(C)(Oc1ccc(F)cc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](S(C)(=O)=O)(C3)C2;1.0
CHEMBL241663;Rattus norvegicus;CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCC(F)(F)F)C(=O)[C@](C)(c1cc(F)cc(F)c1)O2;3.0
CHEMBL241621;Rattus norvegicus;CCC(CC)C(=O)N/C(=N\C1=NC(=O)C(=O)N1c1ccc(Cl)c(Cl)c1)NC(C)C;0.1667
CHEMBL241620;Mus musculus;CC(C)C(=O)N/C(=N/C1=NC(=O)C(=O)N1C(C)C)Nc1ccc(Cl)c(Cl)c1;0.6667
CHEMBL241619;Mus musculus;CCC(CC)C(=O)N/C(=N/C1=NC(=O)C(=O)N1C(C)C)Nc1ccc(Cl)c(Cl)c1;1.0
CHEMBL241578;Rattus norvegicus;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](OC(=O)CC(O)C(=O)[O-])[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C.[Na+];3.0
CHEMBL241502;Rattus norvegicus;CCN(CC)CCCC(C)NC(=O)CCCc1cc(-c2cc(Cl)cc(Cl)c2)nn1-c1ccc2ccccc2c1;6.52
CHEMBL241497;Rattus norvegicus;COC(=O)[C@H](CCCNC(=N)N)NC(=O)CCCc1cc(-c2cc(Cl)cc(Cl)c2)nn1-c1ccc2ccccc2c1;2.49
CHEMBL241479;Rattus norvegicus;CCc1ccc(O[C@H](C)CCOc2ccc(CCC(=O)O)c(CC)c2)c(-c2ccccn2)c1;3.0
CHEMBL2414787;Rattus norvegicus;CC(C)N[C@@H](CC(C)(C)C)C(=O)N[C@H]1CC[C@@H]2CN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C[C@@H]21;2.7
CHEMBL2414780;Rattus norvegicus;CN[C@@H](CC(C)C)C(=O)N[C@H]1CC[C@@H]2CN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C[C@@H]21;3.3
CHEMBL2414779;Rattus norvegicus;CC(C)C[C@@H](C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]21)N(C)C;1.4
CHEMBL2414778;Rattus norvegicus;CN[C@@H](CC(C)C)C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C[C@H]21;2.1
CHEMBL2414777;Rattus norvegicus;CN[C@@H](CC(C)C)C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]21;2.0
CHEMBL2414776;Rattus norvegicus;CC(C)C[C@H](N)C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]21;0.5
CHEMBL2414771;Rattus norvegicus;CN[C@@H](CC(C)C)C(=O)N[C@H]1CC[C@@H]2CN(c3ccc(C(F)(F)F)cc3)C[C@@H]21;15.4
CHEMBL2414700;Rattus norvegicus;NC(=O)C[C@H]1CC[C@H](c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)CC1;4.3
CHEMBL2414670;Rattus norvegicus;Cc1noc(C[C@H]2CC[C@H](c3ccc(N4CCOc5ncnc(N)c5C4=O)cc3)CC2)n1;2.7
CHEMBL2414668;Rattus norvegicus;CC(C)(O)C[C@H]1CC[C@H](c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)CC1;2.6
CHEMBL2414667;Rattus norvegicus;N#CC[C@H]1CC[C@H](c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)CC1;3.1
CHEMBL2414654;Rattus norvegicus;Nc1ncnc2c1C(=O)N(c1ccc([C@H]3CC[C@H](CC(=O)N4CCOCC4)CC3)cc1)CCO2;2.0
