chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL162421;Mus musculus;O=C(Cn1ccnc1)c1ccccc1;360.0
CHEMBL1623765;Rattus norvegicus;CCC(=O)OC1(c2ccccc2)CCN(C)CC1C;22.0
CHEMBL162286;Mus musculus;CC(C(=O)c1ccc(CCc2ccccc2)cc1)n1ccnc1;115.0
CHEMBL162222;Mus musculus;O=C(Cn1ccnc1)c1ccccc1Cl;360.0
CHEMBL162203;Mus musculus;Cc1cccc(-c2nc3cc(Cl)ccc3[nH]2)n1;1231.0
CHEMBL162181;Mus musculus;O=C(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1;300.0
CHEMBL162115;Mus musculus;CCc1ccc(-c2nc3ccccc3[nH]2)nc1;1231.0
CHEMBL162113;Mus musculus;CCc1cccc(-c2nc3ccccc3[nH]2)n1;300.0
CHEMBL162092;Mus musculus;CCc1cccc(-c2nc3cc(OC)ccc3[nH]2)n1;300.0
CHEMBL162073;Rattus norvegicus;C=C1OC(=O)OC1(C)ON1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1;4000.0
CHEMBL162057;Mus musculus;O=C(Cn1ccnc1)c1ccc(Cl)cc1;240.0
CHEMBL161810;Mus musculus;O=C1CN=C(c2ccccc2)c2ccccc2N1C1CCNCC1;1239.0
CHEMBL1615189;Mus musculus;CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1;20.0
CHEMBL161327;Mus musculus;CC(C)OC(=O)NC1=NCC(c2ccccc2)CN1;1000.0
CHEMBL161002;Mus musculus;Cc1ccc(NC(=O)CC23CCCN2CCC3)cc1;413.0
CHEMBL160878;Mus musculus;CCCCSC(=Cc1cccc[n+]1C)SCCCC.[I-];3.0
CHEMBL160877;Mus musculus;CCCCCCSC(=Cc1cccc[n+]1C)SCCCCCC.[I-];5.0
CHEMBL160870;Mus musculus;c1ccc(C2=C(c3ccccc3)N3CCN=C3S2)cc1;40.0
CHEMBL160830;Mus musculus;CCOC(=O)NC1=NC(c2ccc(CO)cc2)CN1C;500.0
CHEMBL160810;Mus musculus;CCCCCCOC(=O)NC1=NC(c2ccc(Cl)cc2)CN1;200.0
CHEMBL160774;Mus musculus;CCOC(=O)NC1=NC(c2cccc(C)c2C)CN1C;300.0
CHEMBL160760;Mus musculus;COC(=O)NC1=NC(c2ccc(C=O)cc2)CN1C;300.0
CHEMBL160714;Rattus norvegicus;CN1C2CCC1CC(NC(=O)c1c(O)nc3ccccc3c1O)C2;88.0
CHEMBL160684;Mus musculus;COC(=O)NC1=NC(c2cccc(OC)c2)CN1C;250.0
CHEMBL160675;Mus musculus;COC(=O)NC1=NC(c2cccc(C)c2)CN1C;475.0
CHEMBL160518;Mus musculus;COC(=O)NC1=NC(c2ccc(O)c(O)c2)CN1;1000.0
CHEMBL160459;Rattus norvegicus;COc1ccc(-c2nc3c4ccccc4ccc3n2C2CCCCC2)cc1;500.0
CHEMBL160436;Mus musculus;CCOC(=O)NC1=NC(c2cccc(Cl)c2)CN1C;300.0
CHEMBL160422;Mus musculus;c1cc2c3c(cccc3c1)SC2;640.0
CHEMBL160117;Mus musculus;CCOC(=O)NC1=NCC(c2ccccc2)CN1;1000.0
