chembl_id;organism;canonical_smiles;F /%
CHEMBL1813114;Rattus norvegicus;C[C@@]12CN(C(=O)Nc3ccnn3-c3ccccc3)CCN1C(=O)N([C@H]1C[C@@H]1c1ccccc1)C2=O;40.0
CHEMBL1813109;Rattus norvegicus;O=C(Nc1ccnn1-c1ccccc1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1;88.0
CHEMBL1813108;Rattus norvegicus;O=C(Nc1cccnc1-c1ccsc1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1;41.0
CHEMBL1813107;Rattus norvegicus;N#Cc1cccc(-c2ncccc2NC(=O)N2CCN3C(=O)N([C@H]4C[C@@H]4c4ccccc4)C(=O)[C@@H]3C2)c1;43.0
CHEMBL1813105;Rattus norvegicus;O=C(Nc1cccnc1-c1ccccc1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1;31.0
CHEMBL1813104;Rattus norvegicus;CS(=O)(=O)c1cc(Cl)c(NC(=O)N2CCN3C(=O)N([C@H]4C[C@@H]4c4ccccc4)C(=O)[C@@H]3C2)c(Cl)c1;74.0
CHEMBL1813102;Rattus norvegicus;N#Cc1cc(Cl)c(NC(=O)N2CCN3C(=O)N([C@H]4C[C@@H]4c4ccccc4)C(=O)[C@@H]3C2)c(Cl)c1;56.0
CHEMBL1813097;Rattus norvegicus;O=C(Nc1cccc(Cl)c1Cl)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1;30.0
CHEMBL1813067;Rattus norvegicus;C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1.Cl;83.0
CHEMBL1813065;Rattus norvegicus;C[C@@H]1CCCN1CCCOc1ccc(-c2cn[nH]c(=O)c2)cc1;24.0
CHEMBL1813063;Rattus norvegicus;Cn1nc(-c2ccc(OCCCN3CCC[C@H]3CO)cc2)ccc1=O;43.0
CHEMBL1813062;Rattus norvegicus;Cn1nc(-c2ccc(OCCCN3CCCCC3)cc2)ccc1=O;22.0
CHEMBL1813061;Rattus norvegicus;C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)n(Cc3ccccc3)n2)cc1;1.0
CHEMBL1813059;Rattus norvegicus;CC(C)n1nc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)ccc1=O;5.0
CHEMBL1813058;Rattus norvegicus;CCn1nc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)ccc1=O;18.0
CHEMBL1813057;Rattus norvegicus;C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)n(C)n2)cc1;28.0
CHEMBL1813055;Rattus norvegicus;O=c1ccc(-c2ccc(OCCCN3CCCCC3)cc2)n[nH]1;11.0
CHEMBL1813053;Rattus norvegicus;C[C@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1;25.0
CHEMBL1813048;Rattus norvegicus;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C;67.0
CHEMBL1813042;Rattus norvegicus;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C(F)(F)F)cc4)CC3)n2)c1C;27.0
CHEMBL1813032;Sus scrofa;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccccc4)CC3)n2)c1;19.0
CHEMBL1813031;Sus scrofa;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(Oc4ccccc4)CC3)n2)c1;52.0
CHEMBL1812717;Rattus norvegicus;CC(C)(O)c1ccc(-c2nc(-c3ccc(F)cc3)oc2Sc2ccc(Cl)cn2)cn1;120.0
CHEMBL1812161;Rattus norvegicus;CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O;89.0
CHEMBL181;Rattus norvegicus;CC1=NS(=O)(=O)c2cc(Cl)ccc2N1;154.0
CHEMBL1809183;Rattus norvegicus;CCc1nn(-c2ccccc2)c2cc(N3CCN(C4CCNC4)CC3)ccc12;72.4
CHEMBL1809182;Rattus norvegicus;CCc1nn(-c2ccccc2)c2cc(N3CC4CNCC4C3)ccc12;98.8
CHEMBL1809106;Rattus norvegicus;CC(C)(CO)Cn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cn2)c1=O;42.2
CHEMBL1809094;Rattus norvegicus;CC(C)Cn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)nc2)c1=O;21.7
CHEMBL1809091;Rattus norvegicus;CC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)nc2)c1=O;35.0
CHEMBL1809044;Rattus norvegicus;COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1;49.0
CHEMBL1809039;Rattus norvegicus;CN(C)CCn1cc2c3c(cccc31)C1=C[C@@H](C(=O)N3CCCC3)CN(C(=O)Nc3ccccc3)[C@@H]1C2;97.0
CHEMBL180902;Rattus norvegicus;CC(C)(C)c1ccc(NC(=O)c2ccc(-c3ncccc3C(F)(F)F)cc2)cc1;2.0
CHEMBL1808616;Rattus norvegicus;COc1cc(-c2ccc(N[C@@H](C)c3ccc(F)cc3)nc2)ccc1-n1cnc(C)c1.Cl;100.0
CHEMBL1808424;Rattus norvegicus;CN1CC(Cl)=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)C1;12.0
CHEMBL1808420;Rattus norvegicus;CN(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(CC23CC4CC(CC(C4)C2)C3)c2ccccc21;5.0
CHEMBL1808417;Rattus norvegicus;O=C(Nc1ccccc1)NC1C(=O)N(CCN2CCOCC2)c2cc(F)ccc2N(CC23CC4CC(CC(C4)C2)C3)C1=O;5.0
CHEMBL1808416;Rattus norvegicus;O=C(Nc1ccccc1)NC1C(=O)N(CCN2CCOCC2)c2ccccc2N(CC23CC4CC(CC(C4)C2)C3)C1=O;10.0
CHEMBL1808411;Rattus norvegicus;CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(CCN(C)C)c2ccccc21;20.0
CHEMBL1808398;Rattus norvegicus;CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(CCN2CCOCC2)c2ccccc21;18.0
CHEMBL1808262;Rattus norvegicus;CC(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1;85.0
CHEMBL1807828;Rattus norvegicus;O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3ccccc3Cl)c2s1;1.0
CHEMBL1807804;Mus musculus;Cc1c2c(n3c1CCN(C(=O)[C@H](C)N)C[C@@H](C)[C@H](C)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O;4.0
CHEMBL1807306;Mus musculus;CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3OC(F)(F)F)nc1-2;22.4
CHEMBL1807273;Rattus norvegicus;CN(C)[C@H]1CC[C@H](NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)C2(c3ccc(F)cc3)CC2)CC1;30.0
CHEMBL1807267;Rattus norvegicus;CN(C)[C@H]1CC[C@H](NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)C2(c3ccc(Cl)cc3)CC2)CC1;17.0
CHEMBL1807264;Rattus norvegicus;O=C(Cc1ccc(Cl)cc1)N[C@H](Cc1ccc(Cl)cc1)C(=O)NCCCO;43.0
CHEMBL1807053;Rattus norvegicus;CCC(CC)Nc1nc(C)c(-c2ccc(OC(F)(F)F)cc2OC)nc1OC;45.0
CHEMBL1806984;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCOCCNc3cc4c(=O)c(C(=O)OC(C)C)cn(C5CC5)c4cc3Cl)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;1.4
CHEMBL1806980;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCOCCOc3ccc4c(c3)c(=O)c(C(=O)O)cn4C3CC3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;10.7
CHEMBL1806978;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCOCCOCCNc3cc4c(=O)c(C(=O)O)cn(C5CC5)c4cc3Cl)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;10.7
CHEMBL1806974;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCOCCOc3cc4c(=O)c(C(=O)O)cn(C5CC5)c4cc3Cl)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;1.0
CHEMBL1806924;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCOCCNc3cc4c(=O)c(C(=O)O)cn(C5CC5)c4cc3Cl)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;3.1
CHEMBL1806728;Rattus norvegicus;CCc1nc(-c2ccc(Cl)cc2Cl)c(CC)nc1NC(CC)CC;83.0
CHEMBL180672;Rattus norvegicus;CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N;11.4
CHEMBL1803004;Rattus norvegicus;CS(=O)(=O)Nc1ccc2ccc3ncc(-c4ccccc4)cc3c(=O)c2c1;2.0
CHEMBL1802914;Rattus norvegicus;CN([C@H]1CCOC1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1;38.0
CHEMBL1802911;Rattus norvegicus;Cn1cc(-c2cnc3ccc4ccc(NS(=O)(=O)N5CCC5)cc4c(=O)c3c2)cn1;29.0
CHEMBL1802907;Rattus norvegicus;CNS(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1;33.0
CHEMBL1802829;Rattus norvegicus;CN(C)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1;24.0
CHEMBL1802813;Mus musculus;C/C(=N\OCCN)c1ccc(Nc2c3ccccc3nc3occc23)cc1.Cl;57.1
CHEMBL1802740;Mus musculus;C/C(=N\OCCN)c1ccc(Nc2c3ccccc3nc3occ(Cl)c23)cc1;5.9
CHEMBL1802100;Mus musculus;Cl.OC[C@@H](O)[C@@H](O)[C@H](O)c1c[nH]c(-c2ccon2)n1;2.4
CHEMBL1802099;Mus musculus;C/C(=N\O)c1nc([C@@H](O)[C@H](O)[C@H](O)CO)c[nH]1.Cl;6.8
CHEMBL1802025;Rattus norvegicus;CCc1nn2ccc3c(c2c1CCNC(C)=O)CCO3;19.7
CHEMBL1801962;Mus musculus;COc1ccccc1C(=O)/C=C/c1ccccc1C(F)(F)F;56.0
CHEMBL1801740;Rattus norvegicus;CCc1nc2c(C)cc(CC(C)C)nc2n1[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21;80.0
CHEMBL180155;Rattus norvegicus;C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1;11.0
CHEMBL1801506;Mus musculus;CC(C)Cc1nc2nccnc2n1Cc1cc(=O)[nH]c2c(F)c(F)ccc12;39.0
CHEMBL1801504;Mus musculus;O=c1cc(Cn2c(C3CCC3)nc3nccnc32)c2ccc(F)c(F)c2[nH]1;62.0
CHEMBL1801490;Mus musculus;CC(C)Cc1nc2ccccc2n1Cc1cc(=O)[nH]c2c(F)c(F)ccc12;81.0
CHEMBL1801482;Mus musculus;CC(C)c1nc2ccccc2n1Cc1cc(=O)[nH]c2c(F)c(F)ccc12;58.0
CHEMBL1801474;Mus musculus;Cc1ncsc1-c1nc2ccccc2n1Cc1cc(=O)[nH]c2c(F)c(F)ccc12;39.0
CHEMBL1801431;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(Cc2ccccn2)CC1;46.8
CHEMBL1801430;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(C2CC2)CC1;23.0
CHEMBL1801429;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCNCC1;6.7
CHEMBL1801428;Rattus norvegicus;COCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(SC(F)(F)F)cc3)cc2)CC1;34.1
CHEMBL1801426;Rattus norvegicus;CC(C)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CC1;48.3
CHEMBL1801425;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CCNCC1;12.4
CHEMBL1801424;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CCN(C2CC2)CC1;36.3
CHEMBL1801423;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc4c(c3)OCCO4)cc2)CCN(C2CC2)CC1;16.6
CHEMBL1801420;Rattus norvegicus;C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc4c(c3)OCO4)cc2)CC1;30.1
CHEMBL1801413;Rattus norvegicus;C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(C(C)C)cc3)cc2)CC1;23.8
CHEMBL1801396;Rattus norvegicus;CC(=O)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1;4.0
CHEMBL1801395;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(CCO)CC1;21.9
CHEMBL1801394;Rattus norvegicus;CCOCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1;14.7
CHEMBL1801393;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(Cc2cccnc2)CC1;49.8
CHEMBL1801350;Rattus norvegicus;C[C@@H](NC(=O)C1(NC(=O)c2cncc(Br)c2)CC1)c1ccc(-n2nc(Cl)c3ccccc32)cc1F;24.0
CHEMBL1801347;Rattus norvegicus;COc1cncc(C(=O)NC2(C(=O)N[C@H](C)c3ccc(-n4nc(Cl)c5ccccc54)cc3F)CC2)c1;6.0
CHEMBL1801305;Rattus norvegicus;CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4cccc(F)c4)nc3-2)C1;151.0
CHEMBL1801287;Rattus norvegicus;CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4cccc(F)c4)cc3-2)C1;27.0
CHEMBL1801279;Rattus norvegicus;O=C1NC2(CC2)Cc2[nH]c3c(c21)CCc1cnc(-c2ccc(F)nc2)cc1-3;24.0
CHEMBL1801250;Mus musculus;O=C(NO)c1cnc(N2C[C@H]3[C@H](NCc4ccc5cc(F)ccc5n4)[C@H]3C2)nc1;27.0
CHEMBL1801204;Rattus norvegicus;COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO;12.0
CHEMBL1801160;Rattus norvegicus;O=C(NC1CC1)c1cn(-c2cccc(-c3ccc([C@@H]4C[C@H]4C(=O)O)c(F)c3)c2)c2ncccc2c1=O;38.0
CHEMBL1801157;Rattus norvegicus;O=C(NC1CCC1)c1cn(-c2cccc(-c3ccc(C4CC4C(=O)O)cc3)c2)c2ncccc2c1=O;20.0
