chembl_id;organism;canonical_smiles;Cmax /ug.mL-1
CHEMBL4059665;Rattus norvegicus;CCOC(=O)[C@@H]1CC2(CCN(c3cc(O[C@H](c4ccc(-c5ccc(C)c(C)c5)cc4-n4ccc(C)n4)C(F)(F)F)nc(N)n3)CC2)CN1;0.24
CHEMBL4059621;Rattus norvegicus;COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2cccc(OS(=O)(=O)Oc3cccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)c3)c2)[nH]1)C(C)C;0.017
CHEMBL4059523;Mus musculus;O=C(/C=C/c1cnccc1-c1cnn(C2CC2)c1)Nc1ccc(CN2CC(F)(F)C2)cc1;0.321
CHEMBL405821;Rattus norvegicus;NC(=O)C(c1ccccc1)(c1ccc(F)cc1)c1ccc(F)cc1;0.4
CHEMBL404511;Mus musculus;CC1NC(NCC(F)F)=Nc2cccc(Cl)c21;0.74
CHEMBL404503;Rattus norvegicus;Cc1ccc(N2CCN(C(=O)[C@H]3[C@@H](c4ccc(Cl)cc4)CCN3C(=O)N(C)C)CC2)c([C@@H](N)C(C)C)c1;0.035
CHEMBL40391;Rattus norvegicus;Nc1cccc(-c2ccc(CCN3CCN(CC(=O)c4ccccc4)CC3)cc2)n1;11.0
CHEMBL403806;Rattus norvegicus;Cc1ccc(N2CCN(C(=O)[C@H]3CN(C4CCOCC4)C[C@@H]3c3ccc(Cl)cc3)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1;0.017
CHEMBL403475;Rattus norvegicus;CCC(c1ccc(-c2ccsc2)cc1)n1ccnc1;1.745
CHEMBL403172;Rattus norvegicus;COC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccccc1)C2;0.023
CHEMBL403;Mus musculus;CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O;75.33
CHEMBL402893;Rattus norvegicus;COC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(C)(C)C)cc1)C2;0.094
CHEMBL40221;Mus musculus;C#C/C=C(\c1ccc(F)cc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1;9.2
CHEMBL40200;Rattus norvegicus;COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2ccc(C(F)(F)F)nc12;1.008
CHEMBL401896;Rattus norvegicus;CCO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2C(C)C)CCc1nn(C)cc1-4)C(=O)NC3;0.637
CHEMBL401796;Rattus norvegicus;COc1cc2nc(N3CCc4c(cccc4NS(C)(=O)=O)C3)nc(N)c2c(-c2ccccn2)c1OC;0.105
CHEMBL401332;Rattus norvegicus;Fc1cc(-c2nc(N3CCN(c4ncccc4C(F)(F)F)CC3)[nH]c2-c2ccc(C(F)(F)F)cc2)cc(F)c1F;0.017
CHEMBL401315;Rattus norvegicus;CCN(C(=O)Nc1ccc(OC(F)(F)F)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1;39.27
CHEMBL401258;Rattus norvegicus;Cc1cccc(NC(=O)c2ccc(-c3ccc(C#N)cc3)o2)c1;0.75
CHEMBL400729;Rattus norvegicus;Cn1cc(/C=C2\C(=O)NN=C2c2nccs2)c2c(F)cccc21;0.139
CHEMBL400571;Rattus norvegicus;CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)nc(NC(C)c4ccccn4)n3)cccc2s1;0.28
